DATE,DTWEXM
2009-01-26,81.7198
2009-01-27,81.6818
2009-01-28,80.9638
2009-01-29,82.0018
2009-01-30,82.8557
2009-02-02,83.0619
2009-02-03,82.0899
2009-02-04,82.3971
2009-02-05,82.6587
2009-02-06,82.7215
2009-02-09,81.6281
2009-02-10,82.2950
2009-02-11,82.8238
2009-02-12,83.1904
2009-02-13,83.0067
2009-02-16,.
2009-02-17,84.4598
2009-02-18,84.7367
2009-02-19,84.3609
2009-02-20,84.1959
2009-02-23,83.9463
2009-02-24,84.2855
2009-02-25,84.6390
2009-02-26,84.4652
2009-02-27,85.2042
2009-03-02,85.9246
2009-03-03,86.1968
2009-03-04,85.7558
2009-03-05,85.9973
2009-03-06,85.5713
2009-03-09,86.3021
2009-03-10,85.3847
2009-03-11,85.2807
2009-03-12,85.4949
2009-03-13,84.8427
2009-03-16,84.4139
2009-03-17,84.6177
2009-03-18,84.1266
2009-03-19,80.7418
2009-03-20,81.6374
2009-03-23,81.6181
2009-03-24,81.5670
2009-03-25,81.5348
2009-03-26,81.7836
2009-03-27,82.6160
2009-03-30,83.4897
2009-03-31,83.3126
2009-04-01,83.3921
2009-04-02,82.1257
2009-04-03,82.0851
2009-04-06,82.6241
2009-04-07,82.6562
2009-04-08,82.6261
2009-04-09,82.9318
2009-04-10,82.9060
2009-04-13,82.0535
2009-04-14,81.8391
2009-04-15,82.0229
2009-04-16,82.0730
2009-04-17,82.7691
2009-04-20,83.5625
2009-04-21,83.3397
2009-04-22,83.2401
2009-04-23,82.8899
2009-04-24,81.6810
2009-04-27,82.0296
2009-04-28,82.5535
2009-04-29,81.2927
2009-04-30,81.5908
2009-05-01,81.4301
2009-05-04,80.8879
2009-05-05,80.7115
2009-05-06,80.7823
2009-05-07,80.5477
2009-05-08,80.0147
2009-05-11,79.4912
2009-05-12,79.4486
2009-05-13,79.4920
2009-05-14,79.5409
2009-05-15,79.6772
2009-05-18,79.6574
2009-05-19,79.0921
2009-05-20,78.2320
2009-05-21,78.0441
2009-05-22,77.0482
2009-05-25,.
2009-05-26,77.0522
2009-05-27,77.0248
2009-05-28,77.2629
2009-05-29,76.2305
2009-06-01,75.8540
2009-06-02,75.4634
2009-06-03,76.0173
2009-06-04,76.2863
2009-06-05,77.3449
2009-06-08,77.8825
2009-06-09,76.9016
2009-06-10,77.0972
2009-06-11,76.4251
2009-06-12,76.9937
2009-06-15,78.1102
2009-06-16,77.5218
2009-06-17,77.7125
2009-06-18,77.2439
2009-06-19,77.0952
2009-06-22,78.0866
2009-06-23,77.5676
2009-06-24,77.3608
2009-06-25,77.9436
2009-06-26,77.3562
2009-06-29,77.5071
2009-06-30,77.7917
2009-07-01,76.9843
2009-07-02,77.7282
2009-07-03,.
2009-07-06,77.9016
2009-07-07,77.9237
2009-07-08,78.0525
2009-07-09,77.4159
2009-07-10,77.7299
2009-07-13,77.4521
2009-07-14,77.1510
2009-07-15,76.4358
2009-07-16,76.3584
2009-07-17,76.4494
2009-07-20,75.9866
2009-07-21,75.8988
2009-07-22,75.6810
2009-07-23,75.4020
2009-07-24,75.5523
2009-07-27,75.5601
2009-07-28,75.3779
2009-07-29,76.1070
2009-07-30,75.8894
2009-07-31,75.0601
2009-08-03,74.4285
2009-08-04,74.5828
2009-08-05,74.6184
2009-08-06,74.9180
2009-08-07,75.7896
2009-08-10,75.9286
2009-08-11,76.0673
2009-08-12,75.6556
2009-08-13,75.3852
2009-08-14,75.6458
2009-08-17,76.2152
2009-08-18,76.3025
2009-08-19,75.4148
2009-08-20,75.3968
2009-08-21,75.0616
2009-08-24,74.9183
2009-08-25,74.7929
2009-08-26,75.7141
2009-08-27,75.4703
2009-08-28,75.0157
2009-08-31,75.1246
2009-09-01,75.6614
2009-09-02,75.5560
2009-09-03,75.3915
2009-09-04,75.1119
2009-09-07,.
2009-09-08,74.1898
2009-09-09,73.9958
2009-09-10,74.0401
2009-09-11,73.6224
2009-09-14,73.9208
2009-09-15,73.7944
2009-09-16,73.3684
2009-09-17,73.2006
2009-09-18,73.6070
2009-09-21,73.8468
2009-09-22,73.2415
2009-09-23,73.4540
2009-09-24,73.9606
2009-09-25,73.9733
2009-09-28,73.8696
2009-09-29,74.2424
2009-09-30,73.6187
2009-10-01,74.0155
2009-10-02,74.0516
2009-10-05,73.7094
2009-10-06,72.9916
2009-10-07,73.2703
2009-10-08,72.7122
2009-10-09,72.8897
2009-10-12,.
2009-10-13,72.3651
2009-10-14,72.1327
2009-10-15,72.0655
2009-10-16,72.3752
2009-10-19,72.0370
2009-10-20,72.5298
2009-10-21,72.0528
2009-10-22,72.2594
2009-10-23,72.4086
2009-10-26,72.8346
2009-10-27,73.1830
2009-10-28,73.4268
2009-10-29,73.1332
2009-10-30,73.3430
2009-11-02,73.1551
2009-11-03,73.4573
2009-11-04,72.9452
2009-11-05,72.8447
2009-11-06,72.9171
2009-11-09,72.1823
2009-11-10,72.1706
2009-11-11,.
2009-11-12,72.5036
2009-11-13,72.2546
2009-11-16,71.8777
2009-11-17,72.5060
2009-11-18,71.9745
2009-11-19,72.4431
2009-11-20,72.6985
2009-11-23,72.1814
2009-11-24,72.3221
2009-11-25,71.6128
2009-11-26,.
2009-11-27,72.1116
2009-11-30,71.8795
2009-12-01,71.3403
2009-12-02,71.5406
2009-12-03,71.8006
2009-12-04,72.4428
2009-12-07,72.5636
2009-12-08,72.8405
2009-12-09,72.7282
2009-12-10,72.7032
2009-12-11,73.2361
2009-12-14,73.0436
2009-12-15,73.6071
2009-12-16,73.2860
2009-12-17,74.3598
2009-12-18,74.3857
2009-12-21,74.2016
2009-12-22,74.4619
2009-12-23,74.0435
2009-12-24,74.0336
2009-12-25,.
2009-12-28,73.8004
2009-12-29,73.8859
2009-12-30,74.2457
2009-12-31,74.0746
2010-01-01,.
2010-01-04,73.6127
2010-01-05,73.5325
2010-01-06,73.5662
2010-01-07,73.9495
2010-01-08,73.7168
2010-01-11,73.0845
2010-01-12,73.1007
2010-01-13,73.0774
2010-01-14,72.8997
2010-01-15,73.1811
2010-01-18,.
2010-01-19,73.4878
2010-01-20,74.2681
2010-01-21,74.1526
2010-01-22,74.2269
2010-01-25,74.2583
2010-01-26,74.6258
2010-01-27,74.5480
2010-01-28,74.5941
2010-01-29,75.1727
2010-02-01,75.1816
2010-02-02,74.9083
2010-02-03,75.1476
2010-02-04,75.5637
2010-02-05,75.9860
2010-02-08,75.6700
2010-02-09,75.4313
2010-02-10,75.6375
2010-02-11,75.4347
2010-02-12,75.5219
2010-02-15,.
2010-02-16,75.0370
2010-02-17,75.4201
2010-02-18,75.6894
2010-02-19,75.8191
2010-02-22,75.5659
2010-02-23,75.7501
2010-02-24,75.7377
2010-02-25,76.1839
2010-02-26,75.3583
2010-03-01,75.6532
2010-03-02,75.2912
2010-03-03,74.6649
2010-03-04,75.2165
2010-03-05,75.2128
2010-03-08,75.2190
2010-03-09,75.1562
2010-03-10,75.0795
2010-03-11,75.0592
2010-03-12,74.6303
2010-03-15,74.9837
2010-03-16,74.5180
2010-03-17,74.4150
2010-03-18,74.8153
2010-03-19,75.1009
2010-03-22,75.0963
2010-03-23,75.0649
2010-03-24,76.0269
2010-03-25,75.9696
2010-03-26,76.0539
2010-03-29,75.6881
2010-03-30,75.7677
2010-03-31,75.4392
2010-04-01,75.1782
2010-04-02,75.5882
2010-04-05,75.3228
